SubjectNum,Activity,tBodyAcc-mean-X,tBodyAcc-mean-Y,tBodyAcc-mean-Z,tBodyAcc-std-X,tBodyAcc-std-Y,tBodyAcc-std-Z,tGravityAcc-mean-X,tGravityAcc-mean-Y,tGravityAcc-mean-Z,tGravityAcc-std-X,tGravityAcc-std-Y,tGravityAcc-std-Z,tBodyAccJerk-mean-X,tBodyAccJerk-mean-Y,tBodyAccJerk-mean-Z,tBodyAccJerk-std-X,tBodyAccJerk-std-Y,tBodyAccJerk-std-Z,tBodyGyro-mean-X,tBodyGyro-mean-Y,tBodyGyro-mean-Z,tBodyGyro-std-X,tBodyGyro-std-Y,tBodyGyro-std-Z,tBodyGyroJerk-mean-X,tBodyGyroJerk-mean-Y,tBodyGyroJerk-mean-Z,tBodyGyroJerk-std-X,tBodyGyroJerk-std-Y,tBodyGyroJerk-std-Z,tBodyAccMag-mean,tBodyAccMag-std,tGravityAccMag-mean,tGravityAccMag-std,tBodyAccJerkMag-mean,tBodyAccJerkMag-std,tBodyGyroMag-mean,tBodyGyroMag-std,tBodyGyroJerkMag-mean,tBodyGyroJerkMag-std,fBodyAcc-mean-X,fBodyAcc-mean-Y,fBodyAcc-mean-Z,fBodyAcc-std-X,fBodyAcc-std-Y,fBodyAcc-std-Z,fBodyAccJerk-mean-X,fBodyAccJerk-mean-Y,fBodyAccJerk-mean-Z,fBodyAccJerk-std-X,fBodyAccJerk-std-Y,fBodyAccJerk-std-Z,fBodyGyro-mean-X,fBodyGyro-mean-Y,fBodyGyro-mean-Z,fBodyGyro-std-X,fBodyGyro-std-Y,fBodyGyro-std-Z,fBodyAccMag-mean,fBodyAccMag-std,fBodyBodyAccJerkMag-mean,fBodyBodyAccJerkMag-std,fBodyBodyGyroMag-mean,fBodyBodyGyroMag-std,fBodyBodyGyroJerkMag-mean,fBodyBodyGyroJerkMag-std,SubjectNum,Activity
1,WALKING,0.276001375626316,-0.0205363235493684,-0.114390347210526,-0.245564766273684,0.101947220184211,-0.275528268710526,0.903439583105263,-0.317539535210526,-0.0105226813252632,-0.965266386842105,-0.960592493842105,-0.944103187947368,0.0770387313461579,0.0184904682978947,-0.000164507064736843,-0.115802888858947,0.0346497948910526,-0.50742632,-0.0616838175341053,-0.0474245895636842,0.0791511054921053,-0.469397336844211,-0.267202476540263,-0.368682113463158,-0.0790168096721053,-0.0432084352168421,-0.0513825785089474,-0.291809042536842,-0.448908098747368,-0.389676933339474,-0.126233110434211,-0.174565314070526,-0.126233110434211,-0.174565314070526,-0.165414035397368,-0.0526216479596842,-0.240944591368421,-0.304071239684211,-0.410609684647368,-0.413705216731579,-0.172183238733158,0.0962625559657368,-0.331307656884211,-0.277941099076842,0.0333358687224737,-0.303533080818421,-0.148351517858474,-0.0339212670549526,-0.466206216663158,-0.162764885194737,0.0386222364258947,-0.547374431631579,-0.333870236216316,-0.290353766838421,-0.26711499354,-0.513725370289474,-0.261209650315263,-0.465366192473684,-0.0872290069421053,-0.357917010905789,-0.0431576304324211,-0.072476912711579,-0.323030532108947,-0.414405715221053,-0.422783272705263,-0.444616815236842,2,2.05263157894737
1,WALKING_UPSTAIRS,0.264493067132076,-0.0223857750387736,-0.106289797132075,-0.625982134339623,-0.38822205104434,-0.390750690338679,0.888626838018868,-0.286952779301887,0.00187108616037736,-0.966107257075472,-0.951675089528302,-0.920574638396226,0.0883373816589623,0.00808545990034906,-0.025258544194717,-0.661925650867925,-0.616890625,-0.801404136792453,0.00785270683075472,-0.120741423261321,0.0773703394254717,-0.693626076603774,-0.447228272157547,-0.646437640971698,-0.113853983533962,-0.0391897148745283,-0.0502736926016038,-0.747987607264151,-0.761612604811321,-0.754626349622642,-0.473575856084906,-0.577533857075472,-0.473575856084906,-0.577533857075472,-0.670223376886793,-0.670301792679245,-0.468948891116981,-0.485632143366038,-0.753024718113208,-0.778623254056604,-0.645320364339623,-0.499472082358491,-0.624918845978302,-0.619764323207547,-0.374933672445283,-0.333179624241509,-0.678892314433962,-0.636136635188679,-0.78619635009434,-0.674652200471698,-0.621986810188679,-0.815073834905661,-0.65743862295283,-0.608036103301887,-0.638355584358491,-0.707897419528302,-0.374711968254717,-0.683312256,-0.593442702179245,-0.635228561886792,-0.650905376584906,-0.698957936209434,-0.590964594169811,-0.507541784792453,-0.772411952924528,-0.803448945754717,3.0188679245283,4.54716981132076
1,WALKING_DOWNSTAIRS,0.271707801153061,-0.0085573778755102,-0.117883862086735,-0.234858963581929,-0.149941965916327,-0.290175145230612,0.882501635102041,-0.22009301849898,-0.0880784841112245,-0.951220519183673,-0.939023318673469,-0.89140664994898,0.0701767303979592,0.00913632245459184,-0.0180683786759184,-0.233600717772449,-0.268919271016327,-0.509407834632653,-0.0433661889556123,-0.0724504636479592,0.0951705450913265,-0.532149587795918,-0.379899002979592,-0.280014336688776,-0.0790759776492857,-0.0477953994020408,-0.0361934378755102,-0.555790265816327,-0.493819615908163,-0.443280771958163,-0.173770759988571,-0.191462890564286,-0.173770759988571,-0.191462890564286,-0.296552158664286,-0.222750742313265,-0.259600972068673,-0.400797700153061,-0.496098756571429,-0.511960152867347,-0.216388190397959,-0.154394050663673,-0.345981567989796,-0.244107625859184,-0.203849580442857,-0.319229939027551,-0.239344644061225,-0.282148237341837,-0.459794836081633,-0.298696993843571,-0.306791786142857,-0.55835531255102,-0.440900556487755,-0.348104537459184,-0.247579651976531,-0.563947231520408,-0.407542057797959,-0.360228004642857,-0.138524508842857,-0.350651132189796,-0.190353584740816,-0.272387380761225,-0.404885659607143,-0.508214257306122,-0.499879802752041,-0.564450936877551,2.73469387755102,2.91836734693878
1,SITTING,0.268996812393617,-0.009299398445,-0.1062534185,-0.920194743510638,-0.84697170706383,-0.900513057234043,0.708675220744681,0.113601630702128,0.298901904968085,-0.971550044680851,-0.954680814468085,-0.960669872553192,0.0788685293617021,0.00205122634457447,-0.000233030035319149,-0.913122895957447,-0.87355049941383,-0.942054441808511,-0.0450131775606383,-0.080409411812766,0.0811248386595745,-0.935986684787234,-0.928575202340425,-0.898839757553192,-0.0910286825319149,-0.0420978401,-0.0492811791595745,-0.920085214255319,-0.946901320531915,-0.922914513829787,-0.889096488085106,-0.886848848510638,-0.889096488085106,-0.886848848510638,-0.911294160106383,-0.894618152531915,-0.88727307393617,-0.902891519255319,-0.939742247234043,-0.935557115957447,-0.91338504,-0.851843632176596,-0.912633304468085,-0.923303962553191,-0.854884014255319,-0.9020635,-0.91518767712766,-0.879282204840426,-0.936290943723404,-0.918893789574468,-0.875990122101064,-0.946488729680851,-0.915694162978723,-0.932804975,-0.893332957446809,-0.942776106595745,-0.927267917340426,-0.910620393723404,-0.887609432659574,-0.905502494468085,-0.892324609680851,-0.89728036756383,-0.914640259893617,-0.91425618106383,-0.939719019148936,-0.934637171489362,2,3.95744680851064
1,STANDING,0.277802853018868,-0.0164975920301887,-0.107986397962264,-0.989324288867925,-0.960527489056604,-0.964128958113207,0.925336063584906,-0.260955668933434,0.0984806392084906,-0.985686394339623,-0.970088058207547,-0.96079671,0.0735893158113208,0.0101905920263208,-0.00108099944081132,-0.98753067745283,-0.977910457358491,-0.987177485377359,-0.0294498332,-0.0649622656415094,0.0671736651943396,-0.981402336320755,-0.978483914433962,-0.968805271132075,-0.100806672754717,-0.0435913040943396,-0.0491033689669811,-0.987147830566038,-0.989085815660377,-0.982760509716981,-0.973203631792453,-0.963780733584906,-0.973203631792453,-0.963780733584906,-0.986330278396226,-0.983874258679245,-0.961308765471698,-0.964002515660377,-0.989653307264151,-0.985936256132075,-0.98761186990566,-0.964281916415094,-0.973132015188679,-0.990273390471698,-0.960526291415094,-0.96170742264151,-0.987395375471698,-0.977473110471698,-0.984938291226415,-0.988889514150943,-0.98014468509434,-0.988043615566038,-0.978243225849057,-0.980025805377359,-0.966844080943396,-0.982490586792453,-0.977834098773585,-0.972434780754717,-0.969485705283019,-0.965903251509434,-0.983855550943396,-0.982767278679245,-0.971823190943396,-0.96517724245283,-0.986272764245283,-0.98621133764151,2,4.60377358490566
1,LAYING,0.25244656087,-0.0291809290097,-0.11033657536,-0.8911643405,-0.803553793754,-0.846529930114,-0.17295430014,0.57332681053,0.46446999319,-0.9329498004,-0.94635316948,-0.91813697091,0.0776938059705,0.0140189700114,0.0091188984465,-0.888943620846,-0.837659339424,-0.9251563522,-0.0212981316414,-0.080335549344,0.13095219664,-0.87802923481,-0.9161762523,-0.8786419768,-0.105622642196,-0.038480027614,-0.069652687597,-0.8724471861,-0.9272468112,-0.8970252859,-0.83290661035,-0.82414694713,-0.83290661035,-0.82414694713,-0.88754578224,-0.85977208822,-0.8551913759,-0.84260140738,-0.9164462662,-0.8991742829,-0.8904479126,-0.81313335317,-0.877221612,-0.8921885612,-0.81217785022,-0.84362845482,-0.8917493159,-0.84846715733,-0.918974697,-0.89622813647,-0.83762489008,-0.9302216728,-0.847306468393,-0.9159613628,-0.8677437196,-0.8885297588,-0.9172344875,-0.8940658621,-0.84576849565,-0.8448716306,-0.86606181394,-0.8520541133,-0.8623118159,-0.85969965314,-0.9098648165,-0.8934033041,2,4.74
3,WALKING,0.275868309741379,-0.0214182094568448,-0.11134223112931,-0.40335806562931,-0.217591586292241,-0.477618028534483,0.9428872925,-0.216220721896552,-0.0136196463362069,-0.974505009482759,-0.95302173362069,-0.940470108706896,0.0759894132019828,0.0132247372448276,0.00162329147767241,-0.411969549137931,-0.277774698997414,-0.665445504137931,-0.00294300076810345,-0.0808241660922414,0.0877742544758621,-0.589064529137931,-0.634062539568966,-0.509949206982759,-0.10677476499569,-0.0390412632758621,-0.0610258772511207,-0.527791369827586,-0.761082859741379,-0.608735228534483,-0.333800293568966,-0.387250726646552,-0.333800293568966,-0.387250726646552,-0.4304445325,-0.366774141197414,-0.490151756293103,-0.595209419224138,-0.671664621810345,-0.693574170517241,-0.409029112146552,-0.240278108108621,-0.53558601862069,-0.403069463782328,-0.2566164971,-0.489369929051724,-0.440635268831897,-0.332177120594828,-0.644314208965517,-0.434892361689655,-0.267959500604397,-0.685720850258621,-0.493937285862069,-0.669287716034483,-0.478158770431035,-0.620754944827586,-0.619519000431034,-0.567451997586207,-0.384091508215517,-0.486288166206897,-0.375607933344828,-0.36347221830569,-0.625775112413793,-0.645369407672414,-0.708673841637931,-0.698450498362069,5.55172413793104,3
3,WALKING_UPSTAIRS,0.25471262870339,-0.0237972672159322,-0.1070815716,-0.629894906610169,-0.431061350890678,-0.64629246779661,0.558773351186441,-0.0789529073355932,0.122757087872881,-0.931111855847458,-0.918999688161017,-0.929098351949153,0.0687843989788136,0.0176940718674576,0.00241169918550848,-0.713007463559322,-0.596512301338136,-0.837164636186441,0.0230696580491525,-0.133073177768644,0.079299550790678,-0.704650823550847,-0.759061842627119,-0.711690603728814,-0.109845508288136,-0.0378725377779661,-0.0558145462047458,-0.732183860254237,-0.873038138728814,-0.770396008983051,-0.547287440127119,-0.604829281059322,-0.547287440127119,-0.604829281059322,-0.698714167711865,-0.694731774745763,-0.624493612974576,-0.656149782271187,-0.814271815254237,-0.839801571949153,-0.670091845567797,-0.485899983933898,-0.721722337033898,-0.615969243889831,-0.440072220190678,-0.635495879152542,-0.722725035338983,-0.61234770610839,-0.819700376186441,-0.728956335932204,-0.607301052415254,-0.853420257542373,-0.660221730033898,-0.791281670847458,-0.682955738135593,-0.720939754491526,-0.743408235084746,-0.748778133135593,-0.606097544915254,-0.666333429336441,-0.681271040677966,-0.715663005677966,-0.719735357966102,-0.675748017740678,-0.839865495423729,-0.851230343728814,6.11864406779661,4.91525423728814
3,WALKING_DOWNSTAIRS,0.28631986122449,-0.013923474272449,-0.109401325433673,-0.507500351510204,-0.447913962087755,-0.630746356316327,0.950581499081633,-0.129233109244898,0.00425525716530612,-0.96055441877551,-0.939293520918367,-0.909402332040816,0.0704816028489796,0.00412933430244898,-0.00593964616918367,-0.523334987418367,-0.522246333714286,-0.768784871428571,-0.0883754953354082,-0.0250846661061225,0.0950206437942857,-0.592456620782653,-0.740332243571429,-0.676192880918367,-0.0851452102387755,-0.0429962246326531,-0.0427573369087755,-0.615322397704082,-0.827237515204082,-0.6648950385,-0.482974187955,-0.464632860454082,-0.482974187955,-0.464632860454082,-0.579151842102041,-0.521732688502041,-0.555004369602041,-0.568585517938776,-0.736494221122449,-0.772601491530612,-0.499817377570408,-0.44728933772551,-0.666436310510204,-0.511704756673469,-0.484958282477551,-0.640944464071429,-0.526575799010204,-0.534377738153061,-0.744866313163265,-0.564197476995918,-0.543069069520786,-0.791652619285714,-0.523262064494898,-0.744727308265306,-0.609290777018367,-0.617437861647959,-0.740372565408163,-0.732383570408163,-0.439925538382653,-0.564671523917347,-0.498804528865306,-0.55649285349898,-0.625778176828571,-0.607742276979592,-0.76908815755102,-0.793937507040816,6.6530612244898,4.48979591836735
3,SITTING,0.269901519855769,-0.00885847046875,-0.104364162096154,-0.713303657053846,-0.523926563165385,-0.748262086538461,0.851265749230769,0.0808731286325962,0.151987074211538,-0.96894410375,-0.934219081923077,-0.928079289711538,0.0753235898653846,0.00279758031923077,-0.00334774499586539,-0.666513340403846,-0.626623953989423,-0.873687894903846,-0.0438874777442308,-0.0741645833663462,0.0843445751351923,-0.753468752884615,-0.825418237403846,-0.809095173269231,-0.109862660223077,-0.0355679502730769,-0.0544856479400962,-0.760698919038462,-0.907209389423077,-0.8138983775,-0.628642137261539,-0.699088946932692,-0.628642137261539,-0.699088946932692,-0.697439122307692,-0.6720894995,-0.728647765996154,-0.755009562576923,-0.846256777788462,-0.866835201826923,-0.710051474942308,-0.565280942504808,-0.788698498557692,-0.715254057625,-0.534521861972212,-0.747232472403846,-0.692155661730769,-0.650900459740385,-0.860463408942308,-0.670368345932692,-0.625549644990385,-0.885639291442308,-0.69726171375,-0.84394008375,-0.781619703076923,-0.77219257375,-0.816555398173077,-0.837629594326923,-0.681241292576923,-0.760551807884615,-0.6722504515,-0.673726293817308,-0.793628808759615,-0.7730097545,-0.864540444519231,-0.87937749625,4,1.76923076923077
